"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"36035","Fulton, NY","2","Population (persons) 1/",54976,54904,54988,55081,55233,55301,55328,55489,55584,55558,55462,55115,54853,54359,53945,53800,53604,53777,53591
"36035","Fulton, NY","3","Per capita personal income (dollars) 2/",25076,25038,25429,26691,27788,28011,29044,30181,31649,32372,33560,34397,35064,35784,36869,38723,39970,42068,43112
"36037","Genesee, NY","2","Population (persons) 1/",60539,60321,60289,60412,60224,60068,59919,59930,59895,59932,59940,59886,59682,59124,58740,58470,58022,57816,57511
"36037","Genesee, NY","3","Per capita personal income (dollars) 2/",25237,25720,26009,27215,28009,28953,30065,31738,33489,33551,34768,36014,36984,37860,39185,40331,40499,42425,43582
"36039","Greene, NY","2","Population (persons) 1/",47986,47976,48177,48416,48755,49142,49513,49537,49467,49372,49136,48850,48582,48304,47962,47634,47525,47474,47491
"36039","Greene, NY","3","Per capita personal income (dollars) 2/",24878,26068,26106,27582,28274,28452,29311,30138,32025,32820,34978,36828,38666,39988,41786,43351,44014,46011,47008
"36041","Hamilton, NY","2","Population (persons) 1/",5377,5312,5232,5181,5158,5093,4987,4969,4893,4858,4851,4826,4802,4766,4700,4699,4557,4481,4434
"36041","Hamilton, NY","3","Per capita personal income (dollars) 2/",24570,26258,27088,28103,29262,30806,32056,33921,37194,39012,39548,40597,41433,42118,46724,46828,48929,51880,54086
"36043","Herkimer, NY","2","Population (persons) 1/",64451,64274,63971,64080,64332,64292,64029,64343,64404,64381,64461,64373,64222,63881,63384,62654,62446,62209,61833
"36043","Herkimer, NY","3","Per capita personal income (dollars) 2/",22654,23309,23569,24258,25610,26178,27123,28375,30385,31627,32789,34191,35271,36027,36386,37502,38018,40487,41581
"36045","Jefferson, NY","2","Population (persons) 1/",111790,111422,111112,110246,109924,113486,113650,115059,115033,115023,116594,117769,120261,118515,118005,116403,113015,113063,111755
"36045","Jefferson, NY","3","Per capita personal income (dollars) 2/",24082,24363,25591,27387,29221,30910,33527,35256,37755,39367,41381,42820,42301,42184,42753,43179,43674,45476,46924
"36047","Kings, NY","2","Population (persons) 1/",2467006,2477252,2480559,2472999,2459094,2445809,2436132,2441324,2460361,2487751,2509877,2540822,2568876,2588501,2602680,2610607,2611232,2596385,2582830
"36047","Kings, NY","3","Per capita personal income (dollars) 2/",25235,26091,26190,26647,28473,29057,30989,33183,34363,34323,35758,37598,38690,39678,41618,44255,46140,50301,52192
"36049","Lewis, NY","2","Population (persons) 1/",26989,26951,26618,26692,26661,26773,27001,27086,26878,27047,27078,27023,27195,27100,27091,26830,26652,26576,26447
"36049","Lewis, NY","3","Per capita personal income (dollars) 2/",20647,21111,22240,23517,24651,26028,28997,30095,33206,34041,35917,39499,38809,40052,41061,40629,40819,43095,43971
"36051","Livingston, NY","2","Population (persons) 1/",64705,65088,65118,65130,65484,65322,65357,65460,65637,65420,65239,64844,64793,64620,64586,64318,63942,63461,63227
"36051","Livingston, NY","3","Per capita personal income (dollars) 2/",23919,24039,24517,25554,26243,26830,27656,29299,31330,31554,33374,35306,35871,35704,36686,37705,39165,44054,45908
"36053","Madison, NY","2","Population (persons) 1/",69450,69852,70261,71010,71397,71471,72042,72709,73075,73169,73440,72879,72413,72457,72204,71672,71291,70831,70795
"36053","Madison, NY","3","Per capita personal income (dollars) 2/",26256,26648,26819,27332,27994,28787,29671,30890,32213,32627,33599,35130,36404,36660,38109,39476,40579,43019,44502
"36055","Monroe, NY","2","Population (persons) 1/",738979,739891,741391,741671,741075,738506,738329,739249,741018,743386,744594,746711,747350,748326,747425,745376,743531,742436,742474
"36055","Monroe, NY","3","Per capita personal income (dollars) 2/",31882,32601,32772,33064,34132,34863,36383,38187,40229,40154,41546,43447,45842,45073,45897,48221,48977,51316,52951
"36057","Montgomery, NY","2","Population (persons) 1/",49605,49472,49298,49449,49460,49505,49724,49798,49951,50001,50300,49901,49822,49738,49673,49579,49206,49216,49455
"36057","Montgomery, NY","3","Per capita personal income (dollars) 2/",24866,26300,27421,28749,29149,29503,30655,32028,33194,33437,34619,35413,35708,36212,36597,37978,38990,41112,41628
"36059","Nassau, NY","2","Population (persons) 1/",1336713,1337086,1339572,1339761,1337964,1332318,1324905,1322048,1325129,1332088,1341687,1346176,1349723,1352399,1355029,1355319,1356463,1357664,1358343
"36059","Nassau, NY","3","Per capita personal income (dollars) 2/",48650,50602,50111,50638,52801,56061,59961,63915,65601,63096,65564,68496,73536,72410,75376,78573,80690,85168,89839
"36061","New York, NY","2","Population (persons) 1/",1540547,1555729,1555382,1562154,1569947,1573573,1578171,1581402,1587022,1583431,1588759,1608215,1624039,1627806,1630946,1636713,1636261,1629780,1628701
"36061","New York, NY","3","Per capita personal income (dollars) 2/",88609,93406,91072,88496,89573,96318,109741,123285,120389,114109,120443,131246,138865,142930,151128,154784,165216,182821,193940
"36063","Niagara, NY","2","Population (persons) 1/",219620,218552,218127,218072,217737,216818,216148,215791,215793,216043,216479,215709,214713,214110,213322,212366,211534,210866,210433
"36063","Niagara, NY","3","Per capita personal income (dollars) 2/",25176,25756,26306,27257,28214,29141,30945,32390,33754,34052,34903,36574,37611,38072,39110,40835,41750,44181,45501
"36065","Oneida, NY","2","Population (persons) 1/",235146,234247,234078,234243,234654,234282,234229,234488,234482,234619,234763,234203,233766,233356,232626,231234,230348,230127,229577
"36065","Oneida, NY","3","Per capita personal income (dollars) 2/",25615,25908,26040,26865,28172,29022,30671,32648,34180,34855,36111,37066,38007,38338,38764,40100,41069,43413,44697
"36067","Onondaga, NY","2","Population (persons) 1/",458034,458576,459484,460961,461412,460910,460925,461287,463472,465633,467527,467571,467034,468181,467342,466233,464033,461791,461809
"36067","Onondaga, NY","3","Per capita personal income (dollars) 2/",29530,29697,30290,31441,32886,33936,35650,37864,39131,39442,40350,41987,43738,43885,45252,47471,48312,51012,52886
"36069","Ontario, NY","2","Population (persons) 1/",100106,100819,101763,102625,103385,104259,104644,105216,106302,107214,108164,108581,108600,109043,109334,109285,109267,109609,109864
"36069","Ontario, NY","3","Per capita personal income (dollars) 2/",29236,29652,29389,30252,31889,32782,34305,36388,38017,38091,39365,41407,43096,43960,45771,49376,49370,51842,53498
"36071","Orange, NY","2","Population (persons) 1/",342892,347674,352975,358727,362934,364522,366908,368464,370201,372079,373453,374125,373814,374539,375181,376152,378047,379803,381951
"36071","Orange, NY","3","Per capita personal income (dollars) 2/",28878,29663,30078,31352,32800,34266,36304,38460,40065,39383,39976,41685,43275,44098,45306,47049,47807,49912,51848
"36073","Orleans, NY","2","Population (persons) 1/",44178,43898,43660,43593,43682,43475,43420,43342,43254,42975,42842,42634,42379,42220,41850,41457,41196,40759,40612
"36073","Orleans, NY","3","Per capita personal income (dollars) 2/",21875,22192,22407,23313,24345,25139,25882,27077,28345,28869,30410,31601,32466,33184,34128,35556,35946,38049,38963
"36075","Oswego, NY","2","Population (persons) 1/",122477,122269,122496,123120,123340,122640,122354,122213,122366,122055,122141,121967,121450,121169,120588,119728,118881,118426,117898
"36075","Oswego, NY","3","Per capita personal income (dollars) 2/",22458,22887,23658,24271,25150,25877,27015,28459,29974,30522,31802,32497,33711,33831,34968,36154,36884,39285,40538
"36077","Otsego, NY","2","Population (persons) 1/",61860,61924,62093,62567,62934,63069,63032,62914,62561,62280,62258,61964,61746,61614,60951,60497,60119,59903,59749
"36077","Otsego, NY","3","Per capita personal income (dollars) 2/",22564,23401,23603,24818,26229,26925,28258,28946,31423,31767,32972,34293,35757,36190,37645,39080,40099,42188,43522
"36079","Putnam, NY","2","Population (persons) 1/",96049,97055,98263,98964,99468,99575,99357,99454,99537,99666,99661,99816,99625,99584,99459,99219,98812,98966,98892
"36079","Putnam, NY","3","Per capita personal income (dollars) 2/",39736,41595,41176,41991,43690,44966,47843,50636,51417,49625,50781,53004,61766,55080,57163,59255,60550,62662,65833
"36081","Queens, NY","2","Population (persons) 1/",2230501,2231316,2224507,2214608,2198516,2185222,2173862,2177351,2193623,2217166,2234745,2255559,2272745,2288194,2300148,2307614,2309032,2296865,2278906
"36081","Queens, NY","3","Per capita personal income (dollars) 2/",28599,29857,29761,30341,31796,32311,34100,36203,36411,36237,37202,38468,39469,39967,41351,43768,44781,47956,49777
"36083","Rensselaer, NY","2","Population (persons) 1/",152684,152700,153040,154201,155523,156104,157312,158243,159011,159150,159341,159572,159427,159538,159661,159456,159334,159261,159442
"36083","Rensselaer, NY","3","Per capita personal income (dollars) 2/",28943,29668,29887,30763,31970,32636,34193,35735,37712,38076,38840,39701,40755,41796,42725,44531,45586,47797,49156
"36085","Richmond, NY","2","Population (persons) 1/",445235,448961,452813,455939,456846,457028,457577,459642,463701,466965,469621,471001,470657,471898,472075,472521,474214,475516,476179
"36085","Richmond, NY","3","Per capita personal income (dollars) 2/",34816,36160,35890,36464,37853,38786,40825,43055,43600,42727,43363,44925,46136,46166,48150,50965,51934,54563,56749
"36087","Rockland, NY","2","Population (persons) 1/",287720,290613,293728,296224,297562,298737,299390,301668,305413,308652,312502,315439,317216,319330,321176,323078,323640,324839,325695
"36087","Rockland, NY","3","Per capita personal income (dollars) 2/",42431,41524,40902,40905,42930,44057,46779,49499,50069,48122,48572,50425,52326,51694,53434,55314,55703,57966,60464
"36089","St. Lawrence, NY","2","Population (persons) 1/",111864,111497,111292,111329,111468,111606,111556,111586,111684,112169,111811,112268,112357,111928,111437,110331,109411,108562,108047
"36089","St. Lawrence, NY","3","Per capita personal income (dollars) 2/",20987,21173,21563,22526,23400,23845,24895,26359,28187,28437,29631,30575,31359,32104,32874,33787,34566,36935,37940
"36091","Saratoga, NY","2","Population (persons) 1/",201514,203974,206446,209410,211478,212975,214627,215798,217282,218652,220105,221088,222466,224082,224518,226053,227048,229102,230163
"36091","Saratoga, NY","3","Per capita personal income (dollars) 2/",32788,34019,34134,35368,37151,39483,42128,44341,46698,46709,48921,51129,53435,54132,55809,60889,62444,64977,67618
"36093","Schenectady, NY","2","Population (persons) 1/",146581,146334,147199,147891,148900,150200,151768,152275,153360,154050,154864,154856,155020,154957,155042,154738,154473,154814,155350
"36093","Schenectady, NY","3","Per capita personal income (dollars) 2/",30142,36001,36964,36945,38274,38443,39958,41179,42537,42002,42476,43295,43860,45053,45851,46076,47423,49202,50533
"36095","Schoharie, NY","2","Population (persons) 1/",31514,31794,31785,32032,32310,32534,32661,32894,32890,32776,32692,32621,32044,31905,31773,31408,31307,31236,31097
"36095","Schoharie, NY","3","Per capita personal income (dollars) 2/",24722,25001,24513,24937,25815,25991,26433,27485,29211,30074,30632,31479,32891,33437,34651,35710,37190,39357,40791
"36097","Schuyler, NY","2","Population (persons) 1/",19232,19175,19179,19151,19034,18880,18752,18707,18644,18398,18326,18402,18484,18372,18164,18013,17948,17925,17912
"36097","Schuyler, NY","3","Per capita personal income (dollars) 2/",22846,22906,23031,23801,25327,25998,26666,28232,30059,31014,32920,34316,35486,36362,38118,39288,39179,40772,42063
"36099","Seneca, NY","2","Population (persons) 1/",33343,34764,35046,35212,35312,35177,35223,35469,35370,35286,35261,35314,35338,35227,34887,34814,34731,34327,34300
"36099","Seneca, NY","3","Per capita personal income (dollars) 2/",24052,23290,23325,23938,25471,25651,26454,27631,29479,29721,31044,32056,33118,33459,34271,34853,35155,37724,38593
"36101","Steuben, NY","2","Population (persons) 1/",98764,99216,99583,99191,98983,98868,98473,98541,98726,98949,99012,99145,98926,98845,98173,97524,96895,96249,95796
"36101","Steuben, NY","3","Per capita personal income (dollars) 2/",29331,27605,25839,25657,26732,28258,31226,32126,33798,33045,35500,36579,37351,38360,39559,40885,41241,43582,45194
"36103","Suffolk, NY","2","Population (persons) 1/",1424081,1442488,1456745,1470849,1478215,1477687,1475626,1475255,1480218,1487206,1494385,1498838,1497037,1497489,1495757,1492278,1486804,1483571,1481093
"36103","Suffolk, NY","3","Per capita personal income (dollars) 2/",37974,38348,38350,38907,41166,43249,46674,50098,50634,49288,50591,52499,55338,55465,57514,60324,62708,65445,68617
"36105","Sullivan, NY","2","Population (persons) 1/",74134,74143,74452,75447,76265,76780,77231,77991,77755,77647,77477,77047,76931,76949,75647,74854,74977,75079,75498
"36105","Sullivan, NY","3","Per capita personal income (dollars) 2/",26434,25843,26405,27424,28777,29457,29855,30670,32604,33471,34597,35520,36597,36898,38880,41286,42039,44483,46303
"36107","Tioga, NY","2","Population (persons) 1/",51838,51712,51992,51895,51631,51611,51536,51565,51498,51236,51011,50872,50281,50110,49833,49360,48822,48650,48560
"36107","Tioga, NY","3","Per capita personal income (dollars) 2/",24648,25278,25066,25510,27327,28418,30369,32049,33897,34789,35645,36910,38835,39941,41958,41235,41904,44115,45910
"36109","Tompkins, NY","2","Population (persons) 1/",96608,97458,98227,99049,99531,99433,99651,99910,100383,101497,101725,101801,102719,103553,103385,103018,102938,102678,102793
"36109","Tompkins, NY","3","Per capita personal income (dollars) 2/",24478,25680,26117,27171,28570,28769,30140,31897,34318,34224,34971,36588,37824,37947,39067,41060,40989,43466,45282
"36111","Ulster, NY","2","Population (persons) 1/",177810,178440,180128,180942,181847,182438,182845,182818,183174,182638,182409,182430,181535,180701,180419,179692,179080,178723,178599
"36111","Ulster, NY","3","Per capita personal income (dollars) 2/",26608,27366,27326,28121,30539,31939,33933,35618,37130,37118,38247,39627,40964,41314,42913,44632,46211,48508,50462
