GeoName,Description,Unit, Year 
"Prince of Wales-Hyder Census Area, AK*",Per capita personal income (dollars),Dollars," 41,456 "
"Prince of Wales-Outer Ketchikan Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Sitka City and Borough, AK",Per capita personal income (dollars),Dollars," 67,771 "
"Skagway Municipality, AK*",Per capita personal income (dollars),Dollars," 76,785 "
"Skagway-Yakutat-Angoon Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Skagway-Hoonah-Angoon Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Southeast Fairbanks Census Area, AK*",Per capita personal income (dollars),Dollars," 47,449 "
"Valdez-Cordova Census Area, AK*",Per capita personal income (dollars),Dollars," 59,736 "
"Wrangell City and Borough, AK*",Per capita personal income (dollars),Dollars," 44,963 "
"Wrangell-Petersburg Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Yakutat City and Borough, AK*",Per capita personal income (dollars),Dollars," 55,783 "
"Yukon-Koyukuk Census Area, AK*",Per capita personal income (dollars),Dollars," 54,874 "
"Aleutian Islands Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Angoon Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Barrow-North Slope Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Bethel Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Bristol Bay Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Cordova-McCarthy Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Haines Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Kenai-Cook Inlet Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Kuskokwim Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Outer Ketchikan Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Prince of Wales Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Seward Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Sitka Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Skagway-Yakutat Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Southeast Fairbanks Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Upper Yukon Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Valdez-Chitina-Whittier Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Wrangell-Petersburg Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Yukon-Koyukuk Division, AK*",Per capita personal income (dollars),Dollars, (NA) 
Arizona,Per capita personal income (dollars),Dollars," 42,505 "
"Apache, AZ",Per capita personal income (dollars),Dollars," 33,093 "
"Cochise, AZ",Per capita personal income (dollars),Dollars," 39,165 "
"Coconino, AZ",Per capita personal income (dollars),Dollars," 46,662 "
"Gila, AZ",Per capita personal income (dollars),Dollars," 38,524 "
"Graham, AZ",Per capita personal income (dollars),Dollars," 30,233 "
"Greenlee, AZ",Per capita personal income (dollars),Dollars," 36,626 "
"La Paz, AZ*",Per capita personal income (dollars),Dollars," 29,750 "
"Maricopa, AZ",Per capita personal income (dollars),Dollars," 45,667 "
"Mohave, AZ",Per capita personal income (dollars),Dollars," 31,742 "
"Navajo, AZ",Per capita personal income (dollars),Dollars," 31,008 "
"Pima, AZ",Per capita personal income (dollars),Dollars," 42,133 "
"Pinal, AZ",Per capita personal income (dollars),Dollars," 29,587 "
"Santa Cruz, AZ",Per capita personal income (dollars),Dollars," 37,395 "
"Yavapai, AZ",Per capita personal income (dollars),Dollars," 38,381 "
"Yuma, AZ*",Per capita personal income (dollars),Dollars," 35,049 "
Arkansas,Per capita personal income (dollars),Dollars," 41,520 "
"Arkansas, AR",Per capita personal income (dollars),Dollars," 43,723 "
"Ashley, AR",Per capita personal income (dollars),Dollars," 33,152 "
"Baxter, AR",Per capita personal income (dollars),Dollars," 35,617 "
"Benton, AR",Per capita personal income (dollars),Dollars," 84,658 "
"Boone, AR",Per capita personal income (dollars),Dollars," 34,263 "
"Bradley, AR",Per capita personal income (dollars),Dollars," 37,936 "
"Calhoun, AR",Per capita personal income (dollars),Dollars," 32,803 "
"Carroll, AR",Per capita personal income (dollars),Dollars," 33,064 "
"Chicot, AR",Per capita personal income (dollars),Dollars," 35,538 "
"Clark, AR",Per capita personal income (dollars),Dollars," 34,822 "
"Clay, AR",Per capita personal income (dollars),Dollars," 33,558 "
"Cleburne, AR",Per capita personal income (dollars),Dollars," 36,764 "
"Cleveland, AR",Per capita personal income (dollars),Dollars," 38,630 "
"Columbia, AR",Per capita personal income (dollars),Dollars," 36,856 "
"Conway, AR",Per capita personal income (dollars),Dollars," 36,781 "
"Craighead, AR",Per capita personal income (dollars),Dollars," 36,323 "
"Crawford, AR",Per capita personal income (dollars),Dollars," 32,042 "
"Crittenden, AR",Per capita personal income (dollars),Dollars," 35,726 "
"Cross, AR",Per capita personal income (dollars),Dollars," 34,595 "
"Dallas, AR",Per capita personal income (dollars),Dollars," 33,118 "
"Desha, AR",Per capita personal income (dollars),Dollars," 36,384 "
"Drew, AR",Per capita personal income (dollars),Dollars," 35,696 "
"Faulkner, AR",Per capita personal income (dollars),Dollars," 36,424 "
"Franklin, AR",Per capita personal income (dollars),Dollars," 33,010 "
"Fulton, AR",Per capita personal income (dollars),Dollars," 27,907 "
"Garland, AR",Per capita personal income (dollars),Dollars," 38,629 "
"Grant, AR",Per capita personal income (dollars),Dollars," 37,275 "
"Greene, AR",Per capita personal income (dollars),Dollars," 33,696 "
"Hempstead, AR",Per capita personal income (dollars),Dollars," 31,369 "
"Hot Spring, AR",Per capita personal income (dollars),Dollars," 29,686 "
"Howard, AR",Per capita personal income (dollars),Dollars," 34,387 "
"Independence, AR",Per capita personal income (dollars),Dollars," 33,882 "
"Izard, AR",Per capita personal income (dollars),Dollars," 29,374 "
"Jackson, AR",Per capita personal income (dollars),Dollars," 34,236 "
"Jefferson, AR",Per capita personal income (dollars),Dollars," 34,006 "
"Johnson, AR",Per capita personal income (dollars),Dollars," 28,649 "
"Lafayette, AR",Per capita personal income (dollars),Dollars," 34,903 "
"Lawrence, AR",Per capita personal income (dollars),Dollars," 33,446 "
"Lee, AR",Per capita personal income (dollars),Dollars," 26,474 "
"Lincoln, AR",Per capita personal income (dollars),Dollars," 25,919 "
"Little River, AR",Per capita personal income (dollars),Dollars," 33,525 "
"Logan, AR",Per capita personal income (dollars),Dollars," 33,540 "
"Lonoke, AR",Per capita personal income (dollars),Dollars," 37,525 "
"Madison, AR",Per capita personal income (dollars),Dollars," 36,069 "
"Marion, AR",Per capita personal income (dollars),Dollars," 29,517 "
"Miller, AR",Per capita personal income (dollars),Dollars," 32,452 "
"Mississippi, AR",Per capita personal income (dollars),Dollars," 29,581 "
"Monroe, AR",Per capita personal income (dollars),Dollars," 32,110 "
"Montgomery, AR",Per capita personal income (dollars),Dollars," 29,778 "
"Nevada, AR",Per capita personal income (dollars),Dollars," 33,006 "
"Newton, AR",Per capita personal income (dollars),Dollars," 27,645 "
"Ouachita, AR",Per capita personal income (dollars),Dollars," 35,026 "
"Perry, AR",Per capita personal income (dollars),Dollars," 33,933 "
"Phillips, AR",Per capita personal income (dollars),Dollars," 30,148 "
"Pike, AR",Per capita personal income (dollars),Dollars," 31,759 "
"Poinsett, AR",Per capita personal income (dollars),Dollars," 30,921 "
"Polk, AR",Per capita personal income (dollars),Dollars," 29,313 "
"Pope, AR",Per capita personal income (dollars),Dollars," 33,972 "
"Prairie, AR",Per capita personal income (dollars),Dollars," 34,208 "
"Pulaski, AR",Per capita personal income (dollars),Dollars," 49,129 "
"Randolph, AR",Per capita personal income (dollars),Dollars," 32,251 "
"St. Francis, AR",Per capita personal income (dollars),Dollars," 27,464 "
"Saline, AR",Per capita personal income (dollars),Dollars," 40,160 "
"Scott, AR",Per capita personal income (dollars),Dollars," 30,330 "
"Searcy, AR",Per capita personal income (dollars),Dollars," 27,109 "
"Sebastian, AR",Per capita personal income (dollars),Dollars," 40,486 "
"Sevier, AR",Per capita personal income (dollars),Dollars," 30,197 "
